drug_name,medical_condition,rating,no_of_reviews
apo-amoxi,bronchitis,-1.0,0.0
beclomethasone,bronchitis,6.5,2.0
doxy 100,bronchitis,1.0,1.0
moxifloxacin,bronchitis,6.1,31.0
cefixime,bronchitis,1.0,1.0
mucinex maximum strength,bronchitis,7.0,2.0
vibramycin,bronchitis,1.0,1.0
cipro i.v.,bronchitis,-1.0,0.0
cipro xr,bronchitis,-1.0,0.0
doryx,bronchitis,-1.0,0.0
doryx mpc,bronchitis,-1.0,0.0
monodox,bronchitis,-1.0,0.0
morgidox,bronchitis,-1.0,0.0
oraxyl,bronchitis,-1.0,0.0
robafen,bronchitis,9.0,1.0
septra ds,bronchitis,-1.0,0.0
augmentin xr,bronchitis,-1.0,0.0
biaxin xl,bronchitis,7.0,4.0
cefpodoxime,bronchitis,2.0,1.0
cefprozil,bronchitis,5.8,4.0
ery-tab,bronchitis,7.0,1.0
guaifenex g,bronchitis,-1.0,0.0
septra,bronchitis,8.0,1.0
suprax,bronchitis,1.0,1.0
tetracycline,bronchitis,5.0,2.0
achromycin v,bronchitis,-1.0,0.0
ala-tet,bronchitis,-1.0,0.0
altarussin,bronchitis,-1.0,0.0
amibid la,bronchitis,-1.0,0.0
amoclan,bronchitis,-1.0,0.0
ampicillin,bronchitis,-1.0,0.0
balminil expectorant,bronchitis,-1.0,0.0
benylin e,bronchitis,-1.0,0.0
bidex-400,bronchitis,-1.0,0.0
brodspec,bronchitis,-1.0,0.0
cefzil,bronchitis,8.0,1.0
co-trimoxazole,bronchitis,-1.0,0.0
dicloxacillin,bronchitis,-1.0,0.0
drituss g,bronchitis,-1.0,0.0
e.e.s. granules,bronchitis,-1.0,0.0
eryc,bronchitis,-1.0,0.0
eryped,bronchitis,-1.0,0.0
erythrocin,bronchitis,-1.0,0.0
erythrocin lactobionate,bronchitis,-1.0,0.0
fenesin ir,bronchitis,7.0,2.0
floxin,bronchitis,-1.0,0.0
gemifloxacin,bronchitis,4.0,5.0
guaifenex la,bronchitis,-1.0,0.0
guiatuss,bronchitis,-1.0,0.0
hytuss,bronchitis,-1.0,0.0
mucinex for kids,bronchitis,-1.0,0.0
ofloxacin,bronchitis,-1.0,0.0
pce dispertab,bronchitis,-1.0,0.0
scot-tussin expectorant,bronchitis,-1.0,0.0
sulfatrim pediatric,bronchitis,-1.0,0.0
tussin expectorant,bronchitis,-1.0,0.0
xpect,bronchitis,-1.0,0.0
zinacef,bronchitis,-1.0,0.0
avelox i.v.,bronchitis,-1.0,0.0
cefaclor,bronchitis,-1.0,0.0
cilastatin / imipenem,bronchitis,-1.0,0.0
difil-g forte,bronchitis,-1.0,0.0
dycill,bronchitis,-1.0,0.0
dynapen,bronchitis,-1.0,0.0
dyphylline / guaifenesin,bronchitis,-1.0,0.0
factive,bronchitis,1.0,4.0
primaxin iv,bronchitis,-1.0,0.0
carboplatin,cancer,1.0,2.0
leukeran,cancer,-1.0,0.0
chlorambucil,cancer,-1.0,0.0
fluorouracil,cancer,-1.0,0.0
doxorubicin,cancer,10.0,2.0
etoposide,cancer,-1.0,0.0
cyclophosphamide,cancer,-1.0,0.0
vincristine,cancer,10.0,1.0
cosmegen,cancer,-1.0,0.0
etopophos,cancer,-1.0,0.0
ifex,cancer,-1.0,0.0
toposar,cancer,-1.0,0.0
vinblastine,cancer,-1.0,0.0
hycamtin,cancer,-1.0,0.0
ifosfamide,cancer,1.0,1.0
dactinomycin,cancer,-1.0,0.0
fludarabine,cancer,-1.0,0.0
tepadina,cancer,-1.0,0.0
thiotepa,cancer,-1.0,0.0
topotecan,cancer,-1.0,0.0
atorvastatin,cholesterol,4.2,243.0
simvastatin,cholesterol,4.7,115.0
lipitor,cholesterol,4.6,83.0
zetia,cholesterol,4.0,56.0
ezetimibe,cholesterol,3.6,125.0
crestor,cholesterol,5.7,109.0
repatha,cholesterol,4.3,307.0
alirocumab,cholesterol,5.6,113.0
evolocumab,cholesterol,4.3,311.0
praluent,cholesterol,5.7,109.0
rosuvastatin,cholesterol,5.0,189.0
pravastatin,cholesterol,4.3,60.0
lovastatin,cholesterol,6.4,14.0
zocor,cholesterol,5.0,22.0
gemfibrozil,cholesterol,6.3,24.0
vytorin,cholesterol,7.3,19.0
livalo,cholesterol,5.5,81.0
niacin,cholesterol,6.0,48.0
altocor,cholesterol,-1.0,0.0
niaspan,cholesterol,5.9,27.0
welchol,cholesterol,6.7,11.0
altoprev,cholesterol,10.0,1.0
ezetimibe / simvastatin,cholesterol,7.3,19.0
fenofibric acid,cholesterol,5.1,13.0
slo-niacin,cholesterol,9.5,2.0
colesevelam,cholesterol,6.3,14.0
ezallor,cholesterol,-1.0,0.0
flolipid,cholesterol,10.0,1.0
lopid,cholesterol,8.0,6.0
pitavastatin,cholesterol,5.6,85.0
amlodipine / atorvastatin,cholesterol,-1.0,0.0
atorvastatin / ezetimibe,cholesterol,-1.0,0.0
fluvastatin,cholesterol,-1.0,0.0
lescol xl,cholesterol,-1.0,0.0
mycophenolate mofetil,cholesterol,-1.0,0.0
niacor,cholesterol,-1.0,0.0
trilipix,cholesterol,5.1,10.0
caduet,cholesterol,-1.0,0.0
ezetimibe / rosuvastatin,cholesterol,4.0,1.0
fibricor,cholesterol,-1.0,0.0
inclisiran,cholesterol,-1.0,0.0
juxtapid,cholesterol,-1.0,0.0
leqvio,cholesterol,-1.0,0.0
lomitapide,cholesterol,-1.0,0.0
lypqozet,cholesterol,-1.0,0.0
roszet,cholesterol,-1.0,0.0
zypitamag,cholesterol,-1.0,0.0
benadryl,colds & flu,9.5,2.0
diphenhydramine,colds & flu,6.8,5.0
vicks nyquil d cold and flu nighttime relief,colds & flu,8.2,5.0
vicks nyquil cold & flu nighttime relief,colds & flu,-1.0,0.0
chlorpheniramine,colds & flu,6.7,3.0
coricidin hbp cold & flu,colds & flu,6.3,8.0
vicks dayquil severe cold & flu,colds & flu,-1.0,0.0
benadryl allergy,colds & flu,7.0,1.0
vicks dayquil cold & flu relief,colds & flu,-1.0,0.0
vicks nyquil severe cold & flu,colds & flu,-1.0,0.0
promethazine dm,colds & flu,10.0,1.0
tylenol cold & flu severe,colds & flu,-1.0,0.0
vicks vaporub,colds & flu,-1.0,0.0
coricidin hbp maximum strength flu,colds & flu,-1.0,0.0
theraflu nighttime severe cold & cough,colds & flu,1.0,1.0
acetaminophen / chlorpheniramine / phenylephrine,colds & flu,7.3,16.0
sudafed pe cold & cough,colds & flu,-1.0,0.0
banophen,colds & flu,-1.0,0.0
benadryl allergy plus cold,colds & flu,-1.0,0.0
pseudoephedrine / triprolidine,colds & flu,7.8,11.0
tussionex pennkinetic,colds & flu,7.6,14.0
chlor-trimeton,colds & flu,-1.0,0.0
diphedryl,colds & flu,-1.0,0.0
diphen,colds & flu,-1.0,0.0
complete allergy relief,colds & flu,-1.0,0.0
tylenol cold,colds & flu,2.0,1.0
allermax,colds & flu,-1.0,0.0
bronkaid,colds & flu,9.1,13.0
dicopanol,colds & flu,-1.0,0.0
dytuss,colds & flu,-1.0,0.0
mucinex fast-max night time cold & flu,colds & flu,5.0,1.0
scot-tussin allergy,colds & flu,-1.0,0.0
siladryl allergy,colds & flu,-1.0,0.0
sudafed pe sinus & allergy,colds & flu,-1.0,0.0
twilite,colds & flu,-1.0,0.0
tylenol cold multi-symptom severe,colds & flu,-1.0,0.0
valu-dryl,colds & flu,-1.0,0.0
vanamine pd,colds & flu,-1.0,0.0
virtussin dac,colds & flu,-1.0,0.0
benadryl allergy plus sinus headache,colds & flu,-1.0,0.0
primatene,colds & flu,9.4,5.0
acetaminophen / dextromethorphan / doxylamine / pseudoephedrine,colds & flu,8.2,5.0
acetaminophen / dextromethorphan / guaifenesin / phenylephrine,colds & flu,10.0,1.0
acetaminophen / dextromethorphan / phenylephrine,colds & flu,3.0,1.0
aller-chlor,colds & flu,-1.0,0.0
allergy relief,colds & flu,-1.0,0.0
brompheniramine,colds & flu,10.0,2.0
mucinex fast-max severe cold,colds & flu,-1.0,0.0
mucinex fast-max severe congestion & cold,colds & flu,-1.0,0.0
sudafed pe pressure+pain+cold,colds & flu,-1.0,0.0
sudafed pe severe cold,colds & flu,5.0,2.0
tylenol cold max day,colds & flu,-1.0,0.0
vicks nyquil cold & flu nighttime relief (alcohol free),colds & flu,-1.0,0.0
wal-finate,colds & flu,-1.0,0.0
acetaminophen / chlorpheniramine / dextromethorphan / pseudoephedrine,colds & flu,2.0,1.0
acetaminophen / chlorpheniramine,colds & flu,5.6,9.0
actifed cold and allergy,colds & flu,-1.0,0.0
advil allergy sinus,colds & flu,-1.0,0.0
alka-seltzer plus cold formula sparkling original effervescent tablets,colds & flu,-1.0,0.0
aprodine,colds & flu,-1.0,0.0
aspirin / chlorpheniramine / phenylephrine,colds & flu,-1.0,0.0
c.p.m.,colds & flu,-1.0,0.0
camphor / eucalyptus / menthol,colds & flu,-1.0,0.0
cheratussin dac,colds & flu,2.0,1.0
chlo-amine,colds & flu,-1.0,0.0
chlor-mal,colds & flu,-1.0,0.0
chlorpheniramine / hydrocodone,colds & flu,7.9,16.0
chlorpheniramine / phenylephrine,colds & flu,9.0,7.0
chlortan,colds & flu,-1.0,0.0
codeine / guaifenesin / pseudoephedrine,colds & flu,2.0,1.0
coricidin hbp nighttime multi-symptom cold,colds & flu,-1.0,0.0
dextromethorphan / promethazine,colds & flu,10.0,1.0
diphenhydramine / phenylephrine,colds & flu,-1.0,0.0
drixoral cold and allergy,colds & flu,10.0,9.0
ed-chlortan,colds & flu,-1.0,0.0
ed a-hist,colds & flu,10.0,1.0
ed chlorped,colds & flu,-1.0,0.0
ed chlor ped jr.,colds & flu,-1.0,0.0
ephedrine / guaifenesin,colds & flu,9.2,21.0
robitussin peak cold nighttime nasal relief,colds & flu,-1.0,0.0
theraflu daytime severe cold & cough,colds & flu,-1.0,0.0
tussicaps,colds & flu,-1.0,0.0
tylenol cold multi-symptom nighttime,colds & flu,-1.0,0.0
a-phedrin,colds & flu,-1.0,0.0
acetaminophen / chlorpheniramine / dextromethorphan / phenylephrine,colds & flu,-1.0,0.0
acetaminophen / dextromethorphan / doxylamine / phenylephrine,colds & flu,-1.0,0.0
acetaminophen / dextromethorphan / doxylamine,colds & flu,4.0,1.0
acetaminophen / dextromethorphan / guaifenesin / pseudoephedrine,colds & flu,10.0,1.0
acetaminophen / dextromethorphan / pseudoephedrine,colds & flu,8.0,1.0
acetaminophen / diphenhydramine / phenylephrine,colds & flu,5.2,5.0
acetaminophen / pheniramine / phenylephrine,colds & flu,-1.0,0.0
advil congestion relief,colds & flu,-1.0,0.0
advil sinus congestion & pain,colds & flu,-1.0,0.0
ala-hist pe,colds & flu,-1.0,0.0
alka-seltzer plus-d multi-symptom sinus & cold liquid gels,colds & flu,-1.0,0.0
allergy multi-symptom,colds & flu,-1.0,0.0
biotussin dac,colds & flu,-1.0,0.0
bromatan plus,colds & flu,-1.0,0.0
bromax,colds & flu,-1.0,0.0
camphor,colds & flu,-1.0,0.0
capron dm,colds & flu,-1.0,0.0
children's triacting night time,colds & flu,-1.0,0.0
childrens tylenol cold plus cough,colds & flu,-1.0,0.0
chlo hist,colds & flu,-1.0,0.0
chlophedianol / pyrilamine,colds & flu,0.0,1.0
chlorpheniramine / ibuprofen / pseudoephedrine,colds & flu,-1.0,0.0
chlorpheniramine / phenylephrine / pyrilamine,colds & flu,-1.0,0.0
cold multi-symptom (nighttime),colds & flu,-1.0,0.0
comtrex cold and cough maximum strength,colds & flu,-1.0,0.0
comtrex cold and flu maximum strength tablet,colds & flu,-1.0,0.0
contac cold + flu (night formula),colds & flu,-1.0,0.0
delsym cough+ cold day time,colds & flu,-1.0,0.0
delsym cough+ cold night time,colds & flu,-1.0,0.0
deltuss dmx,colds & flu,-1.0,0.0
dexbrompheniramine / pseudoephedrine,colds & flu,10.0,11.0
dextromethorphan / phenylephrine / pyrilamine,colds & flu,10.0,2.0
dextromethorphan / phenylephrine / triprolidine,colds & flu,-1.0,0.0
diabetic tussin night time formula,colds & flu,-1.0,0.0
dologen,colds & flu,0.0,1.0
doxylamine / phenylephrine,colds & flu,-1.0,0.0
dristan cold multi symptom formula,colds & flu,-1.0,0.0
flutabs,colds & flu,-1.0,0.0
ibuprofen / phenylephrine,colds & flu,-1.0,0.0
"mucinex children's cold, cough & sore throat",colds & flu,-1.0,0.0
ninjacof,colds & flu,0.0,1.0
norel ad,colds & flu,9.0,1.0
phenylephrine / promethazine,colds & flu,-1.0,0.0
poly-tussin ac,colds & flu,-1.0,0.0
poly hist forte,colds & flu,-1.0,0.0
robitussin peak cold nighttime cold + flu,colds & flu,-1.0,0.0
ru-hist forte,colds & flu,-1.0,0.0
sinus & allergy pe,colds & flu,-1.0,0.0
sudafed pe head congestion + pain,colds & flu,-1.0,0.0
sudafed pe pressure+pain+cough,colds & flu,-1.0,0.0
theraflu flu & sore throat,colds & flu,-1.0,0.0
theraflu nighttime severe cold & cough caplets,colds & flu,-1.0,0.0
theraflu sinus & cold,colds & flu,-1.0,0.0
theraflu warming relief daytime severe cold & cough,colds & flu,-1.0,0.0
theraflu warming relief nighttime severe cold & cough,colds & flu,-1.0,0.0
triaminic multi-symptom fever,colds & flu,-1.0,0.0
tylenol children’s cold + cough + runny nose,colds & flu,-1.0,0.0
tylenol children’s cold + flu,colds & flu,-1.0,0.0
tylenol cold & cough nighttime,colds & flu,-1.0,0.0
tylenol cold multi-symptom nighttime liquid,colds & flu,-1.0,0.0
tylenol plus children's cold,colds & flu,-1.0,0.0
tylenol sinus congestion & pain nighttime,colds & flu,-1.0,0.0
vicks vaposteam,colds & flu,-1.0,0.0
abatuss dmx,colds & flu,-1.0,0.0
acetaminophen / caffeine,colds & flu,-1.0,0.0
acetaminophen / chlorpheniramine / dextromethorphan / guaifenesin,colds & flu,-1.0,0.0
acetaminophen / chlorpheniramine / dextromethorphan,colds & flu,-1.0,0.0
acetaminophen / dexbrompheniramine,colds & flu,0.0,1.0
acetaminophen / dextromethorphan / diphenhydramine,colds & flu,-1.0,0.0
acetaminophen / dextromethorphan / triprolidine,colds & flu,-1.0,0.0
acetaminophen / dextromethorphan,colds & flu,-1.0,0.0
advil children's allergy sinus,colds & flu,-1.0,0.0
alahist d,colds & flu,-1.0,0.0
allan tannate pediatric,colds & flu,-1.0,0.0
allerest pe,colds & flu,-1.0,0.0
allerfrim,colds & flu,-1.0,0.0
ambifed cd,colds & flu,-1.0,0.0
aphedrid,colds & flu,-1.0,0.0
avedana medicated chest rub,colds & flu,-1.0,0.0
benadryl allergy plus congestion,colds & flu,-1.0,0.0
bp allergy jr,colds & flu,-1.0,0.0
brompheniramine / codeine / phenylephrine,colds & flu,-1.0,0.0
c-tanna 12,colds & flu,-1.0,0.0
camphor / menthol,colds & flu,-1.0,0.0
capron dmt,colds & flu,-1.0,0.0
carbetapentane / chlorpheniramine,colds & flu,-1.0,0.0
children's triacting,colds & flu,-1.0,0.0
chlophedianol / dexbrompheniramine,colds & flu,-1.0,0.0
chlophedianol / dexchlorpheniramine / pseudoephedrine,colds & flu,-1.0,0.0
chlorcyclizine / phenylephrine,colds & flu,-1.0,0.0
chlorex-a 12,colds & flu,-1.0,0.0
chlorex a,colds & flu,-1.0,0.0
chlorpheniramine / codeine / pseudoephedrine,colds & flu,-1.0,0.0
chlorpheniramine / codeine,colds & flu,-1.0,0.0
chlorpheniramine / phenylephrine / phenyltoloxamine,colds & flu,-1.0,0.0
chlortan d,colds & flu,-1.0,0.0
clear cough pm multi-symptom,colds & flu,-1.0,0.0
codar ar,colds & flu,-1.0,0.0
codeine / phenylephrine / triprolidine,colds & flu,-1.0,0.0
codimal dm,colds & flu,10.0,2.0
coditussin dac,colds & flu,-1.0,0.0
comtrex cold & cough,colds & flu,-1.0,0.0
comtrex nighttime cold & cough,colds & flu,-1.0,0.0
comtrex severe cold & sinus,colds & flu,-1.0,0.0
conal,colds & flu,-1.0,0.0
conex,colds & flu,-1.0,0.0
contac cold + flu (night) cooling relief liquid,colds & flu,-1.0,0.0
dallergy,colds & flu,-1.0,0.0
dallergy drops,colds & flu,-1.0,0.0
decorel forte plus,colds & flu,-1.0,0.0
delsym cough & sore throat,colds & flu,-1.0,0.0
delsym night time multi-symptom,colds & flu,-1.0,0.0
dexbrompheniramine / phenylephrine,colds & flu,-1.0,0.0
dexchlorpheniramine / dextromethorphan / pseudoephedrine,colds & flu,-1.0,0.0
dextromethorphan / diphenhydramine / phenylephrine,colds & flu,-1.0,0.0
dextromethorphan / pyrilamine,colds & flu,-1.0,0.0
dixaphedrine,colds & flu,-1.0,0.0
duraflu,colds & flu,-1.0,0.0
dytan-d,colds & flu,-1.0,0.0
dytan-dm,colds & flu,-1.0,0.0
ed chlorped d,colds & flu,-1.0,0.0
excedrin quick tab,colds & flu,-1.0,0.0
excedrin tension headache,colds & flu,-1.0,0.0
fast freeze,colds & flu,-1.0,0.0
flu & severe cold & cough daytime powder,colds & flu,-1.0,0.0
freeze it,colds & flu,-1.0,0.0
gnp cold relief plus,colds & flu,-1.0,0.0
guaifen dac,colds & flu,-1.0,0.0
histafed,colds & flu,-1.0,0.0
histex-ac,colds & flu,-1.0,0.0
histex-dm,colds & flu,-1.0,0.0
histex-pe,colds & flu,-1.0,0.0
lortuss ex,colds & flu,-1.0,0.0
m-end pe,colds & flu,-1.0,0.0
medicidin-d,colds & flu,-1.0,0.0
mucinex nightshift cold & flu,colds & flu,-1.0,0.0
nalex-a,colds & flu,-1.0,0.0
nalex a 12,colds & flu,-1.0,0.0
nohist lq,colds & flu,-1.0,0.0
novahistine,colds & flu,-1.0,0.0
onset forte,colds & flu,-1.0,0.0
panatuss ped,colds & flu,-1.0,0.0
phena-plus,colds & flu,-1.0,0.0
phenagil,colds & flu,-1.0,0.0
pheniramine / phenylephrine,colds & flu,-1.0,0.0
phenylephrine / triprolidine,colds & flu,-1.0,0.0
robitussin peak cold daytime cold + flu,colds & flu,-1.0,0.0
sutan-dm,colds & flu,-1.0,0.0
tannic-12 s,colds & flu,-1.0,0.0
theracaps multi-symptom cough & cold reliever,colds & flu,-1.0,0.0
triaminic softchews cough & sore throat,colds & flu,-1.0,0.0
tricode gf,colds & flu,-1.0,0.0
tusnel c,colds & flu,-1.0,0.0
tuzistra xr,colds & flu,-1.0,0.0
tylenol allergy multi-symptom,colds & flu,-1.0,0.0
tylenol children’s cold + cough + sore throat,colds & flu,-1.0,0.0
tylenol cough & sore throat nightime,colds & flu,-1.0,0.0
tylenol cough and sore throat daytime,colds & flu,-1.0,0.0
vanacof,colds & flu,-1.0,0.0
vi-sudo,colds & flu,-1.0,0.0
vicks formula 44 custom care cough & cold pm,colds & flu,-1.0,0.0
zodryl dac,colds & flu,-1.0,0.0
docusate,constipation,5.8,34.0
miralax,constipation,7.3,182.0
colace,constipation,5.5,13.0
dulcolax,constipation,5.2,960.0
bisacodyl,constipation,5.2,1357.0
polyethylene glycol 3350,constipation,7.3,243.0
dulcolax stool softener,constipation,5.0,1.0
milk of magnesia,constipation,8.7,38.0
magnesium oxide,constipation,8.4,15.0
magnesium citrate,constipation,8.7,473.0
metamucil,constipation,6.1,28.0
citrucel,constipation,10.0,1.0
doc-q-lace,constipation,-1.0,0.0
fibercon,constipation,9.0,1.0
phillips' milk of magnesia,constipation,8.4,181.0
dok,constipation,-1.0,0.0
fleet enema,constipation,8.7,90.0
glycolax,constipation,0.0,1.0
psyllium,constipation,6.3,30.0
magnesium hydroxide,constipation,8.5,225.0
surfak,constipation,-1.0,0.0
enemeez mini,constipation,9.0,1.0
bisa-lax,constipation,-1.0,0.0
clearlax,constipation,9.7,8.0
colace micro-enema,constipation,-1.0,0.0
correctol,constipation,5.3,36.0
diocto,constipation,-1.0,0.0
fleet bisacodyl,constipation,10.0,1.0
phillips' cramp-free,constipation,-1.0,0.0
citrate of magnesia,constipation,10.0,6.0
gavilax,constipation,1.0,1.0
gialax,constipation,-1.0,0.0
mag-oxide,constipation,-1.0,0.0
peg3350,constipation,5.0,2.0
purelax,constipation,10.0,1.0
sunmark clearlax,constipation,-1.0,0.0
uro-mag,constipation,-1.0,0.0
citroma,constipation,-1.0,0.0
glycerin,constipation,7.5,24.0
hydrocil,constipation,-1.0,0.0
konsyl,constipation,9.0,2.0
methylcellulose,constipation,5.7,7.0
reguloid,constipation,-1.0,0.0
sodium biphosphate / sodium phosphate,constipation,8.8,99.0
disposable enema,constipation,10.0,1.0
dulcolax milk of magnesia,constipation,10.0,1.0
equalactin,constipation,-1.0,0.0
ex-lax milk of magnesia,constipation,-1.0,0.0
fiber lax,constipation,-1.0,0.0
fiber laxative,constipation,-1.0,0.0
fleet glycerin suppositories adult,constipation,7.7,8.0
fleet phospho soda,constipation,10.0,2.0
mineral oil,constipation,-1.0,0.0
natural fiber therapy,constipation,-1.0,0.0
osmoprep,constipation,-1.0,0.0
pedia-lax chewable tablets,constipation,-1.0,0.0
pedia-lax liquid glycerin suppositories,constipation,10.0,1.0
polycarbophil,constipation,5.0,3.0
sani-supp,constipation,-1.0,0.0
sorbitol,constipation,9.0,1.0
benzocaine / docusate,constipation,-1.0,0.0
castor oil,constipation,-1.0,0.0
fibertab,constipation,-1.0,0.0
fleet glycerin suppositories pediatric,constipation,-1.0,0.0
potassium phosphate,constipation,-1.0,0.0
symbicort,copd,7.4,46.0
trelegy ellipta,copd,5.8,106.0
prednisone,copd,7.4,15.0
montelukast,copd,7.5,10.0
breztri aerosphere,copd,6.7,3.0
fluticasone / umeclidinium / vilanterol,copd,5.7,107.0
anoro ellipta,copd,6.8,56.0
breo ellipta,copd,6.9,36.0
daliresp,copd,7.7,45.0
budesonide / formoterol,copd,7.5,47.0
tudorza pressair,copd,9.0,14.0
incruse ellipta,copd,2.9,20.0
stiolto respimat,copd,6.3,31.0
rayos,copd,10.0,1.0
aclidinium,copd,9.0,14.0
fluticasone / vilanterol,copd,6.9,36.0
levalbuterol,copd,8.5,4.0
roflumilast,copd,7.8,48.0
umeclidinium / vilanterol,copd,6.8,57.0
bevespi aerosphere,copd,7.5,5.0
xopenex,copd,10.0,2.0
olodaterol / tiotropium,copd,6.1,33.0
striverdi respimat,copd,5.5,4.0
xopenex hfa,copd,-1.0,0.0
olodaterol,copd,5.5,4.0
revefenacin,copd,10.0,2.0
umeclidinium,copd,2.8,21.0
xopenex concentrate,copd,-1.0,0.0
yupelri,copd,10.0,2.0
aclidinium / formoterol,copd,-1.0,0.0
breyna,copd,-1.0,0.0
budesonide / formoterol / glycopyrrolate,copd,6.7,3.0
duaklir pressair,copd,-1.0,0.0
formoterol / glycopyrrolate,copd,7.5,5.0
ivermectin,covid 19,7.8,17.0
remdesivir,covid 19,5.2,34.0
pfizer-biontech covid-19 vaccine,covid 19,7.4,11.0
paxlovid,covid 19,6.8,282.0
actemra,covid 19,-1.0,0.0
tocilizumab,covid 19,-1.0,0.0
anakinra,covid 19,-1.0,0.0
kineret,covid 19,-1.0,0.0
moderna covid-19 vaccine,covid 19,5.2,27.0
olumiant,covid 19,1.0,2.0
veklury,covid 19,-1.0,0.0
molnupiravir,covid 19,4.7,4.0
regen-cov,covid 19,5.5,2.0
sotrovimab,covid 19,-1.0,0.0
bamlanivimab / etesevimab,covid 19,1.0,1.0
lagevrio,covid 19,-1.0,0.0
"sars-cov-2 (covid-19) ad26 vaccine, recombinant",covid 19,6.5,4.0
sars-cov-2 mrna (tozinameran) vaccine,covid 19,7.4,11.0
bamlanivimab and etesevimab,covid 19,1.0,1.0
baricitinib,covid 19,1.0,2.0
bebtelovimab,covid 19,2.0,2.0
comirnaty,covid 19,-1.0,0.0
nirmatrelvir / ritonavir,covid 19,6.8,285.0
sars-cov-2 (covid-19) mrna-1273 vaccine,covid 19,5.2,27.0
pfizer-biontech covid-19 (5y-11y) bivalent booster vaccine pf,covid 19,-1.0,0.0
pfizer-biontech covid-19 (12y+) bivalent booster vaccine pf,covid 19,-1.0,0.0
sars-cov-2 (covid-19) mrna (tozinameran 5y-11y) bivalent booster vaccine,covid 19,-1.0,0.0
sars-cov-2 (covid-19) mrna (tozinameran 12y+) bivalent booster vaccine,covid 19,-1.0,0.0
sars-cov-2 (covid-19) mrna-1273 (bivalent booster) vaccine,covid 19,-1.0,0.0
"sars-cov-2 (covid-19) nvx-cov2373 vaccine, recombinant",covid 19,-1.0,0.0
sars-cov-2 mrna (tozinameran 6m-4y) vaccine,covid 19,-1.0,0.0
sars-cov-2 mrna-1273 (6m-5y) vaccine,covid 19,-1.0,0.0
sars-cov-2 mrna-1273 (booster only) vaccine,covid 19,-1.0,0.0
spikevax,covid 19,-1.0,0.0
bupropion,depression,7.0,1334.0
cymbalta,depression,6.3,588.0
sertraline,depression,6.8,1209.0
zoloft,depression,6.8,612.0
lexapro,depression,7.2,607.0
citalopram,depression,7.2,717.0
prozac,depression,7.0,423.0
fluoxetine,depression,7.0,699.0
wellbutrin xl,depression,7.4,301.0
celexa,depression,7.2,364.0
escitalopram,depression,7.2,895.0
venlafaxine,depression,6.0,1004.0
trintellix,depression,6.0,603.0
abilify,depression,6.4,324.0
duloxetine,depression,6.2,712.0
effexor xr,depression,6.5,353.0
rexulti,depression,6.9,133.0
vortioxetine,depression,5.9,885.0
brexpiprazole,depression,7.0,146.0
lisdexamfetamine,depression,8.4,19.0
trazodone,depression,6.6,131.0
mirtazapine,depression,6.7,621.0
pristiq,depression,6.9,773.0
effexor,depression,5.5,341.0
paxil,depression,6.4,192.0
paroxetine,depression,6.5,287.0
remeron,depression,7.0,168.0
wellbutrin sr,depression,6.8,104.0
amitriptyline,depression,8.1,126.0
viibryd,depression,6.0,586.0
alprazolam,depression,8.7,102.0
lamotrigine,depression,7.2,172.0
tramadol,depression,9.2,198.0
seroquel xr,depression,7.1,52.0
aripiprazole,depression,6.3,352.0
quetiapine,depression,6.4,189.0
deplin,depression,7.3,92.0
nortriptyline,depression,6.3,60.0
zyprexa,depression,5.3,77.0
desyrel,depression,7.0,4.0
forfivo xl,depression,10.0,1.0
budeprion sr,depression,7.6,12.0
desvenlafaxine,depression,6.8,839.0
methylphenidate,depression,8.7,63.0
aplenzin,depression,6.5,14.0
desyrel dividose,depression,-1.0,0.0
doxepin,depression,7.1,27.0
fetzima,depression,4.7,91.0
lithium,depression,6.1,57.0
olanzapine,depression,5.0,171.0
risperidone,depression,5.1,52.0
desipramine,depression,9.1,16.0
irenka,depression,-1.0,0.0
modafinil,depression,8.7,66.0
nefazodone,depression,9.4,77.0
fluvoxamine,depression,6.6,35.0
imipramine,depression,6.5,31.0
l-methylfolate,depression,7.6,136.0
methylin er,depression,9.5,2.0
niacin,depression,8.7,55.0
parnate,depression,8.5,89.0
paxil cr,depression,7.4,14.0
remeron soltab,depression,8.0,6.0
symbyax,depression,9.1,18.0
abilify mycite,depression,-1.0,0.0
amitriptyline / chlordiazepoxide,depression,9.6,5.0
amoxapine,depression,9.6,6.0
aventyl hydrochloride,depression,9.0,1.0
clomipramine,depression,6.8,42.0
emsam,depression,7.9,32.0
fluoxetine / olanzapine,depression,7.8,25.0
ketamine,depression,7.6,17.0
nardil,depression,8.4,103.0
norpramin,depression,9.8,5.0
pamelor,depression,4.4,11.0
pexeva,depression,-1.0,0.0
phenelzine,depression,8.6,130.0
tranylcypromine,depression,8.3,108.0
vilazodone,depression,6.0,606.0
zyprexa zydis,depression,-1.0,0.0
amitriptyline / perphenazine,depression,9.0,1.0
armodafinil,depression,8.3,40.0
atomoxetine,depression,6.8,7.0
isocarboxazid,depression,9.0,6.0
levomilnacipran,depression,4.9,102.0
marplan,depression,9.0,6.0
paliperidone,depression,3.9,12.0
selegiline,depression,8.1,41.0
tofranil,depression,5.8,6.0
trimipramine,depression,9.0,2.0
vivactil,depression,9.0,2.0
xaquil xr,depression,9.0,3.0
esketamine,depression,5.6,63.0
